Course Id,Course Name,Credits,Semester,Faculty Id,Branch
23AMAMT6010,Reinforcement Learning,3,II,S20EEE205,AIML
23AMAMT6020,Big Data Analytics,3,II,S24AIML6104,AIML
23AMAMT6030,Data Visualization,3,II,S24AIML6103,AIML
23AMAMP604A,Cryptography and Network Security ,3,II,S25AIML6101,AIML
23AMAMP605B,Cloud Computing ,3,II,S24AIML6101,AIML
23AMMEO606A,Introduction to Industrial Robotics ,3,II,S15MEC316,AIML
23AMAML6070,Big Data Analytics Lab,1.5,II,S24AIML6101,AIML
23AMAML6070,Big Data Analytics Lab,1.5,II,S25AIML6101,AIML
23AMAML6080,Data Visualization Lab ,1.5,II,S24AIML6103,AIML
23AMAML6080,Data Visualization Lab ,1.5,II,S20EEE205,AIML
23AMAHS6090,Soft Skills ,2,II,S08ASH173,AIML
23AMAMN6100,Technical Paper Writing and IPR,0,II,S23AIML6108,AIML
23AMAMT4010,Optimization Techniques,2,II,S20EEE205,AIML
23AMMAT4020,Probability & Statistics,3,II,S19ASH102,AIML
23AMAMT4030,Machine Learning,3,II,S23AIML6108,AIML
23AMAMT4040,Database Management Systems,3,II,S22AIML6101,AIML
23AMAMT4050,Digital Logic & Computer Organization,3,II,S24AIML6101,AIML
23AMAML4060,Machine Learning Lab,1.5,II,S23AIML6108,AIML
23AMAML4060,Machine Learning Lab,1.5,II,S22AIML6101,AIML
23AMAML4070,Database Management Systems Lab,1.5,II,S22AIML6101,AIML
23AMAML4070,Database Management Systems Lab,1.5,II,S20EEE205,AIML
23AMAMS4080,Full Stack development-1,2,II,S22AIML6101,AIML
23CMMSR4090,Design Thinking & Innovation,2,II,S25AIML6101,AIML
